plot_index,anger,depressed,disappointment,disgust,embarrassment,fear,grief,hopeless,joy,lonely,nervousness,neutral,remorse,sadness,suicidal,surprise
"(STY)
corpus-length",168.6735483870968,177.96051136363636,87.1069783917818,84.47258687258687,88.94931506849315,114.35,84.19021739130434,189.62516914749662,81.68468468468468,155.24053224155577,81.66759776536313,79.63817748659916,82.10234899328859,177.23474178403757,228.88695192815638,88.66666666666667
"(STY)
corpus-syllabes-count",61.833548387096776,67.0340909090909,32.71944739638682,31.655598455598454,33.76027397260274,43.12421875,31.483695652173914,71.82679296346414,30.72972972972973,57.429887410440124,30.793296089385475,28.46039309112567,30.788590604026847,64.75743348982786,84.46513470681458,36.333333333333336
"(STY)
corpus-words-count",28.338064516129034,30.569318181818183,15.059865391427559,14.735135135135135,15.26986301369863,19.765625,14.804347826086957,31.90933694181326,14.657657657657658,27.296144660525417,14.134078212290502,14.063132817153067,14.296979865771812,29.593114241001565,38.87717908082409,14.666666666666666
"(LEX)
health",1.3921977806451613,1.2346995170454544,0.5928709528869996,0.6267156447876449,0.4983888904109589,1.3507091796875001,1.9784264673913043,0.8218307442489851,0.9768209009009009,0.5841400887069259,1.7919990502793297,0.49901616438356167,0.5482323154362416,1.7663278716744912,4.132691318013734,1.7543866666666668
"(PSY)
processes-negative-anger",2.5828836387096774,1.7270646676136365,2.4149140382571734,4.67679738996139,2.8642002328767124,2.1840595546875,1.933788913043478,1.2270775101488496,0.640580990990991,0.9744792255203004,1.979692430167598,1.1345539547349615,1.7809107382550333,0.8932767762128325,5.12384940570523,1.7543866666666668
"(STY)
corpus-words-per-sentence",22.424752141935482,16.454723750000003,10.697059872476089,10.261171181467182,11.408949753424658,16.9157421796875,10.88813402173913,15.104106224627875,14.30930927927928,15.32088945752303,10.408286787709498,8.976970407980941,9.84675610738255,27.03291605633803,16.42934914157422,14.666666666666666
"(PSY)
processes-negative-general",9.812659987096774,11.595865139204545,11.052753336875664,14.254659444015443,11.576728342465753,12.748516460937498,12.300729673913043,11.026397943166442,5.502737027027026,12.380447018082563,12.391236312849163,6.069784871947587,12.933430939597315,8.48261427230047,11.854985068674061,3.5087733333333335
"(PSY)
processes-negative",9.82184064516129,11.642786204545455,11.13733531703861,14.297596949806948,11.688512164383562,12.954832929687502,12.685693423913044,11.075894330175913,5.502737027027026,12.49252559194814,12.546306564245809,6.163187915425849,13.12111515100671,8.517096353677621,11.879618858954041,3.5087733333333335
"(MOR)
morphology-adjectives",5.4064604387096775,5.319753585227272,7.147901544456251,9.265705613899614,7.719527547945206,6.18429946875,6.532721304347826,5.987157225981055,7.402706036036035,11.426393172978507,6.55478097765363,4.559508799880881,5.195752432885906,6.148976322378717,5.414358085050185,7.309943333333333
"(MOR)
morphology-adjectives-qualifying",5.053780787096774,5.074974988636363,6.6217030499468645,8.403396625482625,6.736763821917808,5.8968554296875,5.940192771739131,5.596346576454668,7.037612882882883,10.95518857727738,6.1153720670391065,4.305825324597976,4.972393070469798,5.928645978090767,5.195270171685156,7.309943333333333
