Coefficient,feature,category,acronym,plot_index
0.11299331849307981,morphology-nouns-proper,morphosyntax,MOR,"(MOR)
morphology-nouns-proper"
0.10951692271467817,morphology-pronouns-interrogative,morphosyntax,MOR,"(MOR)
morphology-pronouns-interrogative"
0.10347693355847509,morphology-verbs-indicative-compound,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-compound"
0.10140396072094848,morphology-verbs-tense-past,morphosyntax,MOR,"(MOR)
morphology-verbs-tense-past"
0.09528247457155103,morphology-determiners-possessive,morphosyntax,MOR,"(MOR)
morphology-determiners-possessive"
0.09477933742267464,morphology-verbs-number-plural,morphosyntax,MOR,"(MOR)
morphology-verbs-number-plural"
0.08902756832973813,morphology-verbs-number-plural-third,morphosyntax,MOR,"(MOR)
morphology-verbs-number-plural-third"
0.0848558660733767,morphology-verbs-indicative-compound-past-perfect,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-compound-past-perfect"
0.08096518299979838,affixes-suffixes-adverbializers,morphosyntax,MOR,"(MOR)
affixes-suffixes-adverbializers"
0.07125867425296128,morphology-pronouns-personal-enclitics,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-enclitics"
0.06461879387551805,morphology-pronouns-demonstrative,morphosyntax,MOR,"(MOR)
morphology-pronouns-demonstrative"
0.056148133544713374,morphology-verbs-nonfinite-gerund,morphosyntax,MOR,"(MOR)
morphology-verbs-nonfinite-gerund"
0.05416511500030685,morphology-determiners-demostrative,morphosyntax,MOR,"(MOR)
morphology-determiners-demostrative"
0.05213226175401564,morphology-pronouns-indefinite,morphosyntax,MOR,"(MOR)
morphology-pronouns-indefinite"
0.043907747571005906,morphology-verbs-indicative-simple-past,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-simple-past"
0.04078875906617929,morphology-nouns-female,morphosyntax,MOR,"(MOR)
morphology-nouns-female"
0.040107317559595845,morphology-adverbs-affirmation,morphosyntax,MOR,"(MOR)
morphology-adverbs-affirmation"
0.03832193684841112,morphology-determiners-indefinite,morphosyntax,MOR,"(MOR)
morphology-determiners-indefinite"
0.036168687856143134,morphology-verbs-conditional,morphosyntax,MOR,"(MOR)
morphology-verbs-conditional"
0.03339765185185639,affixes-suffixes-despective,morphosyntax,MOR,"(MOR)
affixes-suffixes-despective"
0.03321826357128943,morphology-determiners-total,morphosyntax,MOR,"(MOR)
morphology-determiners-total"
